country,covered,legal_system,min_purchase_age_on_premise,min_purchase_age_off_premise,bac_limit_general_pop_per_l,bac_limit_young_drivers_per_l,bac_limit_prof_drivers_per_l,random_breath_testing,national_alcohol_strategy_written_adopted,primary_legislation_illegal_alcohol,average_daily_intake_grams_pop_15+_bothsex,specialist_substance_use_courts,alcohol_treatment_requirements,national_system_monitoring_consumption,national_system_monitoring_health_consequence,national_system_monitoring_social_consequence,national_system_monitoring_policy_response,alcohol_tagging_requirements,row_type,source_min_purchase_age_on_premise,source_min_purchase_age_off_premise,source_bac_limits,source_random_breath_testing,source_national_alcohol_strategy_written_adopted,source_primary_legislation_illegal_alcohol,source_average_daily_intake_grams_pop_15+_bothsex,source_specialist_substance_use_courts,source_alcohol_tagging_requirements
England,,,,,,,,,,,,,,,,,,,source,WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2018),WHO (last updated 2024),WHO (last updated 2018),WHO (last updated 2025),UK Parliament (2023),GOV.UK (2022)
England,,,,,,,,,,,,,,,,,,,hyperlink,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-on-premise-service-,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-off-premise-sales,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/legal-blood-alcohol-concentration-(bac)-limits,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/random-breath-testing-(rbt)-use,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adopted-written-national-policy-on-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/national-legislation-to-prevent-illegal-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/average-daily-intake-in-grams-of-alcohol--population-15,https://researchbriefings.files.parliament.uk/documents/POST-PN-0700/POST-PN-0700.pdf,https://insidehmcts.blog.gov.uk/2022/06/01/a-sobering-success-for-alcohol-monitoring-requirements/
Wales,yes,common law,18,18,sub-national,sub-national,sub_national,Yes,Yes,Spirits only,23.3,Yes,,yes,yes,yes,yes,Alcohol Abstinence and Monitoring Requirement (AAMR),policy,,,,,,,,,
Wales,,,,,,,,,,,,,,,,,,,source,WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2018),WHO (last updated 2024),WHO (last updated 2018),WHO (last updated 2025),UK Parliament (2023),GOV.UK (2022)
Wales,,,,,,,,,,,,,,,,,,,hyperlink,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-on-premise-service-,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-off-premise-sales,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/legal-blood-alcohol-concentration-(bac)-limits,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/random-breath-testing-(rbt)-use,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adopted-written-national-policy-on-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/national-legislation-to-prevent-illegal-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/average-daily-intake-in-grams-of-alcohol--population-15,https://researchbriefings.files.parliament.uk/documents/POST-PN-0700/POST-PN-0700.pdf,https://insidehmcts.blog.gov.uk/2022/06/01/a-sobering-success-for-alcohol-monitoring-requirements/
Northern Ireland,yes,common law,18,18,sub-national,sub-national,sub_national,Yes,Yes,Spirits only,23.3,Yes,,yes,yes,yes,yes,Alcohol Abstinence and Monitoring Requirement (AAMR),policy,,,,,,,,,
Northern Ireland,,,,,,,,,,,,,,,,,,,source,WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2018),WHO (last updated 2024),WHO (last updated 2018),WHO (last updated 2025),Justice Innovation (n.d.),GOV.UK (2022)
Northern Ireland,,,,,,,,,,,,,,,,,,,hyperlink,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-on-premise-service-,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-off-premise-sales,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/legal-blood-alcohol-concentration-(bac)-limits,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/random-breath-testing-(rbt)-use,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adopted-written-national-policy-on-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/national-legislation-to-prevent-illegal-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/average-daily-intake-in-grams-of-alcohol--population-15,https://justiceinnovation.org/project/belfast-substance-misuse-court,https://insidehmcts.blog.gov.uk/2022/06/01/a-sobering-success-for-alcohol-monitoring-requirements/
Netherlands,yes,civil law,18,18,0.05%,0.02%,0.05%,Yes,Yes,Yes,18.9,No,,yes,yes,no,no,Teetotal Tag,policy,,,,,,,,,
Netherlands,,,,,,,,,,,,,,,,,,,source,WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2018),WHO (last updated 2024),WHO (last updated 2018),WHO (last updated 2025),,Reuters (2020)
Netherlands,,,,,,,,,,,,,,,,,,,hyperlink,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-on-premise-service-,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-off-premise-sales,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/legal-blood-alcohol-concentration-(bac)-limits,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/random-breath-testing-(rbt)-use,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adopted-written-national-policy-on-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/national-legislation-to-prevent-illegal-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/average-daily-intake-in-grams-of-alcohol--population-15,,https://www.reuters.com/article/technology/dutch-drink-offenders-to-get-teetotal-tag-to-keep-them-dry-idUSKBN23M0W9/
Poland,yes,civil law,18,18,0.02%,0.02%,0.02%,Yes,Yes,Yes,25.3,No,,no,no,no,no,Pilot study,policy,,,,,,,,,
Poland,,,,,,,,,,,,,,,,,,,source,WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2018),WHO (last updated 2024),WHO (last updated 2018),WHO (last updated 2025),,The Academy of Justice in Poland (2022)
Poland,,,,,,,,,,,,,,,,,,,hyperlink,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-on-premise-service-,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-off-premise-sales,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/legal-blood-alcohol-concentration-(bac)-limits,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/random-breath-testing-(rbt)-use,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adopted-written-national-policy-on-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/national-legislation-to-prevent-illegal-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/average-daily-intake-in-grams-of-alcohol--population-15,,https://files.4medicine.pl/download.php?cfs_id=5581
Portugal,yes,civil law,18,18,0.05%,0.02%,0.02%,Yes,Yes,Yes,19.3,No,,yes,yes,yes,yes,No,policy,,,,,,,,,
Portugal,,,,,,,,,,,,,,,,,,,source,WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2018),WHO (last updated 2024),WHO (last updated 2018),WHO (last updated 2025),,
Portugal,,,,,,,,,,,,,,,,,,,hyperlink,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-on-premise-service-,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-off-premise-sales,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/legal-blood-alcohol-concentration-(bac)-limits,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/random-breath-testing-(rbt)-use,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adopted-written-national-policy-on-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/national-legislation-to-prevent-illegal-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/average-daily-intake-in-grams-of-alcohol--population-15,,
Romania,yes,civil law,18,18,None,Zero tolerance,Zero tolerance,Yes,No,Yes,36.5,No,,no,no,no,no,No,policy,,,,,,,,,
Romania,,,,,,,,,,,,,,,,,,,source,WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2018),WHO (last updated 2024),WHO (last updated 2018),WHO (last updated 2025),,
Romania,,,,,,,,,,,,,,,,,,,hyperlink,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-on-premise-service-,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-off-premise-sales,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/legal-blood-alcohol-concentration-(bac)-limits,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/random-breath-testing-(rbt)-use,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adopted-written-national-policy-on-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/national-legislation-to-prevent-illegal-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/average-daily-intake-in-grams-of-alcohol--population-15,,
Serbia,yes,civil law,18,18,0.02%,Zero tolerance,Zero tolerance,Yes,Yes,Yes,16.7,No,,no,no,no,no,No,policy,,,,,,,,,
Serbia,,,,,,,,,,,,,,,,,,,source,WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2018),WHO (last updated 2024),WHO (last updated 2018),WHO (last updated 2025),,
Serbia,,,,,,,,,,,,,,,,,,,hyperlink,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-on-premise-service-,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-off-premise-sales,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/legal-blood-alcohol-concentration-(bac)-limits,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/random-breath-testing-(rbt)-use,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adopted-written-national-policy-on-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/national-legislation-to-prevent-illegal-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/average-daily-intake-in-grams-of-alcohol--population-15,,
Singapore,yes,,18,18,0.08%,0.08%,0.08%,Yes,Yes,Yes,3.9,No,,yes,no,no,no,No,policy,,,,,,,,,
Singapore,,,,,,,,,,,,,,,,,,,source,WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2018),WHO (last updated 2024),WHO (last updated 2018),WHO (last updated 2025),,
Singapore,,,,,,,,,,,,,,,,,,,hyperlink,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-on-premise-service-,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-off-premise-sales,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/legal-blood-alcohol-concentration-(bac)-limits,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/random-breath-testing-(rbt)-use,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adopted-written-national-policy-on-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/national-legislation-to-prevent-illegal-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/average-daily-intake-in-grams-of-alcohol--population-15,,
South Africa,yes,civil law,18,18,None,None,None,No,Yes,Yes,15.5,No,,yes,no,no,no,No,policy,,,,,,,,,
South Africa,,,,,,,,,,,,,,,,,,,source,WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2018),WHO (last updated 2024),WHO (last updated 2018),WHO (last updated 2025),,
South Africa,,,,,,,,,,,,,,,,,,,hyperlink,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-on-premise-service-,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-off-premise-sales,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/legal-blood-alcohol-concentration-(bac)-limits,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/random-breath-testing-(rbt)-use,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adopted-written-national-policy-on-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/national-legislation-to-prevent-illegal-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/average-daily-intake-in-grams-of-alcohol--population-15,,
Turkey,yes,civil law,18,18,0.05%,0.02%,0.02%,Yes,Yes,Yes,3.7,No,,yes,no,no,no,No,policy,,,,,,,,,
Turkey,,,,,,,,,,,,,,,,,,,source,WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2018),WHO (last updated 2024),WHO (last updated 2018),WHO (last updated 2025),,
Turkey,,,,,,,,,,,,,,,,,,,hyperlink,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-on-premise-service-,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-off-premise-sales,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/legal-blood-alcohol-concentration-(bac)-limits,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/random-breath-testing-(rbt)-use,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adopted-written-national-policy-on-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/national-legislation-to-prevent-illegal-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/average-daily-intake-in-grams-of-alcohol--population-15,,
United States,yes,common law,sub-national,sub-national,0.08%,sub-national,0.04%,No,Yes,Yes,21.5,Yes (by state),,yes,yes,yes,yes,Secure Continuous Remote Alcohol Monitoring (SCRAM) tags,policy,,,,,,,,,
United States,,,,,,,,,,,,,,,,,,,source,WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2018),WHO (last updated 2024),WHO (last updated 2018),WHO (last updated 2025),AllRise (2026),
United States,,,,,,,,,,,,,,,,,,,hyperlink,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-on-premise-service-,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-off-premise-sales,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/legal-blood-alcohol-concentration-(bac)-limits,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/random-breath-testing-(rbt)-use,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adopted-written-national-policy-on-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/national-legislation-to-prevent-illegal-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/average-daily-intake-in-grams-of-alcohol--population-15,https://allrise.org/about/treatment-courts/,
