country,covered,legal_system,min_purchase_age_on_premise,min_purchase_age_off_premise,bac_limit_general_pop_per_l,bac_limit_young_drivers_per_l,bac_limit_prof_drivers_per_l,random_breath_testing,national_alcohol_strategy_written_adopted,primary_legislation_illegal_alcohol,alcohol_per_capita_avg_litres,per_capita_consumption_grams,average_daily_intake_grams_pop_15+_female,average_daily_intake_grams_pop_15+_male,specialist_substance_use_courts,alcohol_treatment_requirements,national_system_monitoring_consumption,national_system_monitoring_health_consequence,national_system_monitoring_social_consequence,national_system_monitoring_policy_response,alcohol_tagging_requirements,driving_penalty_community_service,driving_penalty_detention,driving_penalty_fines,driving_penalty_alcolocks,driving_penalty_license_suspended_revoked,driving_penalty_mandatory_treatment,driving_penalty_penalty_points,driving_penalty_vehicle_impounded,row_type,source_min_purchase_age_on_premise,source_min_purchase_age_off_premise,source_bac_limits,source_random_breath_testing,source_national_alcohol_strategy_written_adopted,source_primary_legislation_illegal_alcohol,source_consumption_litres,source_average_consumptions,source_specialist_substance_use_courts,source_alcohol_tagging_requirements,source_driving_penalties
Poland,yes,civil law,18,18,0.02%,0.02%,0.02%,Yes,Yes,Yes,10.1,25.3,11.2,40.7,No,,no,no,no,no,Pilot study,yes,yes,yes,no,yes,yes,yes,yes,policy,,,,,,,,,,,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source,WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2018),WHO (last updated 2024),WHO (last updated 2018),WHO (2024),WHO (last updated 2025),,The Academy of Justice in Poland (2022),WHO (2016)
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyperlink,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-on-premise-service-,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-off-premise-sales,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/legal-blood-alcohol-concentration-(bac)-limits,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/random-breath-testing-(rbt)-use,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adopted-written-national-policy-on-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/national-legislation-to-prevent-illegal-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-recorded-per-capita-(15-)-consumption-(in-litres-of-pure-alcohol)-3-year-average-with-95-ci,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/average-daily-intake-in-grams-of-alcohol--population-15,,https://files.4medicine.pl/download.php?cfs_id=5581,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/penalties-for-drink-driving
Portugal,yes,civil law,18,18,0.05%,0.02%,0.02%,Yes,Yes,Yes,13.1,19.3,8.8,31.3,No,,yes,yes,yes,yes,No,no,yes,yes,no,no,yes,yes,yes,policy,,,,,,,,,,,
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source,WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2018),WHO (last updated 2024),WHO (last updated 2018),WHO (2024),WHO (last updated 2025),,,WHO (2016)
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyperlink,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-on-premise-service-,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-off-premise-sales,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/legal-blood-alcohol-concentration-(bac)-limits,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/random-breath-testing-(rbt)-use,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adopted-written-national-policy-on-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/national-legislation-to-prevent-illegal-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-recorded-per-capita-(15-)-consumption-(in-litres-of-pure-alcohol)-3-year-average-with-95-ci,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/average-daily-intake-in-grams-of-alcohol--population-15,,,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/penalties-for-drink-driving
Romania,yes,civil law,18,18,None,Zero tolerance,Zero tolerance,Yes,No,Yes,12,36.5,16.1,58.7,No,,no,no,no,no,No,no,no,yes,no,yes,no,yes,no,policy,,,,,,,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source,WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2018),WHO (last updated 2024),WHO (last updated 2018),WHO (2024),WHO (last updated 2025),,,WHO (2016)
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyperlink,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-on-premise-service-,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-off-premise-sales,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/legal-blood-alcohol-concentration-(bac)-limits,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/random-breath-testing-(rbt)-use,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adopted-written-national-policy-on-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/national-legislation-to-prevent-illegal-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-recorded-per-capita-(15-)-consumption-(in-litres-of-pure-alcohol)-3-year-average-with-95-ci,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/average-daily-intake-in-grams-of-alcohol--population-15,,,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/penalties-for-drink-driving
Serbia,yes,civil law,18,18,0.02%,Zero tolerance,Zero tolerance,Yes,Yes,Yes,9.9,16.7,7.1,27.4,No,,no,no,no,no,No,no,yes,yes,no,yes,yes,yes,yes,policy,,,,,,,,,,,
